Twój wiek?;10. Dlaczego nie komunikujesz pracodawcy  że nie spełnia on Twoich oczekiwań?;;;;;;;;
24-39 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;;;;;;;;
24-39 lat;;;;;;;;;
18-23 lat;;;;;;;;;
24-39 lat;;;uważasz, że Twoje oczekiwania nie są ważne;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;boisz się, że zostaniesz zwolniony(a);;;;;
24-39 lat;nie wierzysz, że to coś zmieni;;;;;;;;
18-23 lat;;;uważasz, że Twoje oczekiwania nie są ważne;;;;;;
18-23 lat;;;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;boisz się, że zostaniesz zwolniony(a);;;;;
18-23 lat;;;;;;;;;
18-23 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;;boisz się, że zostaniesz zwolniony(a);;;;;
18-23 lat;nie wierzysz, że to coś zmieni;;;boisz się, że zostaniesz zwolniony(a);w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
18-23 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
24-39 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
40-55 lat;;;;;;;;;
18-23 lat;nie wierzysz, że to coś zmieni;;;;;;;;
24-39 lat;;;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;;;boisz się, że zostaniesz zwolniony(a);;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
24-39 lat;;;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;uważasz, że pracodawca powinien się domyśleć;;;
