Twój wiek?,mówisz wprost czego oczekujesz i dlaczego,długo nie mówisz a później wybuchasz,zaczynasz wolniej pracować i czekasz na reakcję przełożonego/pracodawcy,rozpowiadasz współpracownikom o swoich oczekiwaniach licząc  że dotrze to do przełożonego/pracodawcy,nie przyjmujesz nowych zadań dopóki przełożony/pracodawca nie spełni określonego przez Ciebie oczekiwania,celowo nieprawidłowo wykonujesz zadania komunikując że to przez brak zaspokojenia oczekiwań,bierzesz L-4 żeby przełożony domyślił się że coś jest nie tak,inne
24-39 lat,tak,nie,nie,nie,nie,nie,tak,
40-55 lat,tak,tak,nie,nie,nie,nie,nie,nie
24-39 lat,tak,,,,,,,
24-39 lat,tak,nie,nie,tak,nie,nie,nie,nie
18-23 lat,tak,nie,nie,nie,nie,nie,nie,
24-39 lat,,,,,,,,
24-39 lat,nie,nie,tak,tak,nie,nie,nie,nie
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
18-23 lat,nie,nie,nie,tak,nie,nie,nie,nie
18-23 lat,tak,nie,tak,tak,nie,nie,nie,
24-39 lat,nie,nie,nie,nie,nie,nie,nie,
18-23 lat,nie,nie,tak,tak,nie,nie,nie,nie
18-23 lat,,,,,,,,
18-23 lat,nie,nie,tak,tak,nie,nie,nie,
18-23 lat,,,,,,,,
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,,,,,,,,
40-55 lat,tak,nie,nie,nie,tak,nie,nie,nie
18-23 lat,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,nie,tak,nie,nie,nie,nie,nie,
40-55 lat,,tak,,,,,,
18-23 lat,nie,nie,nie,nie,nie,nie,nie,tak
18-23 lat,nie,tak,tak,tak,tak,tak,nie,tak
40-55 lat,nie,nie,nie,nie,nie,nie,nie,
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,,,,,,,,
40-55 lat,tak,nie,nie,nie,tak,nie,nie,nie
40-55 lat,,,,,,,,
24-39 lat,tak,nie,nie,nie,nie,nie,nie,
24-39 lat,nie,nie,nie,nie,nie,nie,nie,nie
18-23 lat,nie,tak,nie,tak,nie,nie,nie,nie
24-39 lat,tak,,,,,,,
40-55 lat,nie,tak,nie,nie,nie,nie,nie,nie
40-55 lat,nie,tak,tak,nie,tak,nie,nie,nie
24-39 lat,,,,,,,,
18-23 lat,tak,nie,nie,nie,nie,nie,nie,
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,nie,tak,nie,tak,tak,nie,nie,nie
40-55 lat,,,,,,,,
24-39 lat,,,,,,,,
40-55 lat,,,,,,,,
24-39 lat,tak,nie,nie,tak,nie,nie,nie,
18-23 lat,,,,,,,,
24-39 lat,,,,tak,,,,
24-39 lat,,,,,,,,
40-55 lat,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,nie,tak,nie,nie,nie,nie,nie,nie
40-55 lat,nie,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,nie,nie,nie,nie,nie,tak
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,,,,,,,,
40-55 lat,,,,,,,,
40-55 lat,,tak,,,,,,
40-55 lat,,,,,,,,
40-55 lat,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,tak,nie,nie,nie,nie,nie,nie
24-39 lat,,,,,,,,
40-55 lat,tak,tak,nie,nie,nie,nie,nie,
40-55 lat,tak,tak,nie,tak,nie,nie,nie,nie
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,nie,nie,nie,nie,nie,nie,
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,nie,tak,nie,nie,nie,nie
18-23 lat,tak,nie,nie,tak,nie,nie,nie,nie
40-55 lat,,,,,,,,
24-39 lat,,,,,,,,
24-39 lat,nie,tak,tak,nie,nie,nie,nie,nie
24-39 lat,tak,nie,,,,,,
40-55 lat,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,nie,,,,,,,
40-55 lat,,,,,,,,
24-39 lat,nie,nie,nie,tak,nie,nie,nie,
40-55 lat,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,,,,,,,,
40-55 lat,tak,,,,,,,tak
24-39 lat,,,,,,,,
40-55 lat,,tak,,,,,,
40-55 lat,nie,nie,nie,nie,nie,nie,nie,nie
24-39 lat,,,,,,,,
24-39 lat,,,,,,,,
40-55 lat,,,,,,,tak,
40-55 lat,nie,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,tak,nie,tak,nie,nie,nie
40-55 lat,,,,,,,,
24-39 lat,,,,,,,,
24-39 lat,,,,,,,,
18-23 lat,,,,,,,,
24-39 lat,tak,,,,,,,
24-39 lat,,,,,,,,
40-55 lat,nie,tak,tak,nie,nie,nie,nie,nie
