Twój wiek?,13. Czy uważasz że pracodawca ma wobec Ciebie jakieś oczekiwania poza tymi zawartymi w umowie o pracę?
24-39 lat,Nie
40-55 lat,Nie
24-39 lat,Tak
24-39 lat,Tak
18-23 lat,Nie
24-39 lat,Tak
24-39 lat,Nie
24-39 lat,Nie
18-23 lat,Nie
18-23 lat,Tak
24-39 lat,Nie
18-23 lat,Nie
18-23 lat,Tak
18-23 lat,Tak
18-23 lat,Tak
24-39 lat,Nie
40-55 lat,Nie
40-55 lat,Tak
18-23 lat,Tak
24-39 lat,Nie
24-39 lat,Nie
24-39 lat,Nie
40-55 lat,Tak
18-23 lat,Tak
18-23 lat,Tak
40-55 lat,Tak
24-39 lat,Nie
24-39 lat,Nie
40-55 lat,Nie
40-55 lat,Tak
24-39 lat,Tak
24-39 lat,Tak
18-23 lat,Tak
24-39 lat,Tak
40-55 lat,Tak
40-55 lat,Tak
24-39 lat,Nie
18-23 lat,Nie
24-39 lat,Tak
24-39 lat,Nie
40-55 lat,Nie
24-39 lat,Nie
40-55 lat,Tak
24-39 lat,Tak
18-23 lat,Tak
24-39 lat,Nie
24-39 lat,Tak
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Tak
24-39 lat,Tak
24-39 lat,Tak
40-55 lat,Nie
40-55 lat,Tak
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Tak
24-39 lat,Tak
40-55 lat,Tak
40-55 lat,Tak
24-39 lat,Tak
40-55 lat,Tak
24-39 lat,Nie
24-39 lat,Nie
24-39 lat,Nie
18-23 lat,Nie
40-55 lat,Nie
24-39 lat,Nie
24-39 lat,Tak
24-39 lat,Nie
40-55 lat,Tak
40-55 lat,Nie
40-55 lat,Nie
24-39 lat,Tak
40-55 lat,Nie
40-55 lat,Tak
40-55 lat,Tak
24-39 lat,Tak
40-55 lat,Tak
40-55 lat,Nie
24-39 lat,Tak
24-39 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
24-39 lat,Nie
40-55 lat,Tak
24-39 lat,Tak
24-39 lat,Tak
18-23 lat,Tak
24-39 lat,Tak
24-39 lat,Nie
40-55 lat,Tak
