Twój wiek?,przyjmując Cię do pracy oczekuje że posiadasz deklarowane w rozmowie kwalifikacyjnej (CV) umiejętności (np. znajomość języka na deklarowanym poziomie itp.),że będziesz przestrzegał(a) panujących w firmie norm i zasad w tym zasad bhp,że potrafisz pracować w zespole,że będziesz sumiennie wykonywał(a) przydzielone Ci zadania i polecenia przełożonego,że będziesz wyjeżdżał(a) na kilkudniowe delegacje (jeżeli taki był warunek przyjęcia do pracy) i nie będziesz się zasłaniał(a) sytuacją rodzinną ,że będziesz podnosił(a) kwalifikacje,że będziesz angażował(a) się w sprawy firmy,że w trudnej dla firmy sytuacji będziesz potrafił(a) przedłożyć interes firmy i współpracowników ponad własne potrzeby i oczekiwania ,że będziesz dbał(a) o dobro organizacji w tym jej wizerunek i reputację,że będziesz wykazywał(a) się elastycznością,że nie będziesz podejmował(a) działań konkurencyjnych wobec firmy,że będziesz lojalny(a) wobec firmy
24-39 lat,,,,,,,,,,,,
40-55 lat,nie,tak,tak,tak,nie,tak,nie,nie,tak,tak,nie,tak
24-39 lat,tak,tak,tak,tak,,,,,,,,
24-39 lat,tak,tak,tak,tak,nie,nie,nie,nie,tak,tak,tak,tak
18-23 lat,,,,,,,,,,,,
24-39 lat,nie,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak
24-39 lat,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak
24-39 lat,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak
18-23 lat,,,,,,,,,,,,
18-23 lat,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak
24-39 lat,,,,,,,,,,,,
18-23 lat,tak,tak,nie,tak,nie,nie,nie,tak,nie,nie,tak,tak
18-23 lat,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak
18-23 lat,nie,tak,tak,tak,nie,nie,tak,tak,tak,tak,nie,tak
18-23 lat,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak
24-39 lat,,,,,,,,,,,,
40-55 lat,,,,,,,,,,,,
40-55 lat,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak
