Twój wiek?,oczekiwania pracownika wobec pracodawcy są tak samo ważne jak warunki opisane w umowie o pracę,zmieniłbyś/zmieniłabyś pracę jeśli pracodawca nie spełniłby Twoich oczekiwań  nawet jeżeli warunki w umowie o pracę są realizowane,pracodawca ma prawo zwolnić pracownika  jeżeli ten nie spełnia jego oczekiwań  nawet jeśli pracownik nie narusza warunków zawartych w umowie o pracę
24-39 lat,raczej zgadzam się,trudno powiedzieć,zdecydowanie się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,raczej zgadzam się
24-39 lat,zdecydowanie zgadzam się,trudno powiedzieć,raczej się nie zgadzam
18-23 lat,zdecydowanie zgadzam się,trudno powiedzieć,raczej się nie zgadzam
24-39 lat,trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,zdecydowanie zgadzam się
24-39 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,zdecydowanie zgadzam się
18-23 lat,zdecydowanie zgadzam się,trudno powiedzieć,raczej się nie zgadzam
18-23 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,raczej się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,trudno powiedzieć
18-23 lat,trudno powiedzieć,trudno powiedzieć,zdecydowanie się nie zgadzam
18-23 lat,trudno powiedzieć,zdecydowanie się nie zgadzam,trudno powiedzieć
18-23 lat,raczej zgadzam się,raczej zgadzam się,raczej zgadzam się
18-23 lat,raczej zgadzam się,zdecydowanie się nie zgadzam,raczej zgadzam się
24-39 lat,raczej zgadzam się,raczej się nie zgadzam,raczej zgadzam się
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej zgadzam się
40-55 lat,raczej zgadzam się,zdecydowanie zgadzam się,trudno powiedzieć
18-23 lat,raczej zgadzam się,zdecydowanie zgadzam się,raczej zgadzam się
24-39 lat,raczej zgadzam się,trudno powiedzieć,raczej zgadzam się
24-39 lat,raczej zgadzam się,trudno powiedzieć,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,trudno powiedzieć
18-23 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,zdecydowanie się nie zgadzam
18-23 lat,zdecydowanie zgadzam się,raczej zgadzam się,zdecydowanie zgadzam się
40-55 lat,zdecydowanie zgadzam się,trudno powiedzieć,zdecydowanie się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,zdecydowanie zgadzam się
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,zdecydowanie się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,raczej zgadzam się
40-55 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,raczej zgadzam się
24-39 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,zdecydowanie zgadzam się
24-39 lat,zdecydowanie zgadzam się,trudno powiedzieć,raczej się nie zgadzam
18-23 lat,raczej zgadzam się,raczej zgadzam się,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,trudno powiedzieć
40-55 lat,raczej zgadzam się,raczej się nie zgadzam,raczej się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,trudno powiedzieć,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,raczej zgadzam się
18-23 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,zdecydowanie zgadzam się
24-39 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,raczej zgadzam się
24-39 lat,trudno powiedzieć,raczej zgadzam się,raczej się nie zgadzam
40-55 lat,raczej zgadzam się,raczej się nie zgadzam,raczej się nie zgadzam
24-39 lat,raczej zgadzam się,trudno powiedzieć,raczej się nie zgadzam
40-55 lat,raczej się nie zgadzam,raczej zgadzam się,raczej zgadzam się
24-39 lat,trudno powiedzieć,zdecydowanie zgadzam się,trudno powiedzieć
18-23 lat,zdecydowanie zgadzam się,zdecydowanie się nie zgadzam,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,trudno powiedzieć,raczej się nie zgadzam
24-39 lat,raczej zgadzam się,trudno powiedzieć,raczej zgadzam się
40-55 lat,raczej zgadzam się,trudno powiedzieć,raczej się nie zgadzam
40-55 lat,raczej zgadzam się,zdecydowanie zgadzam się,trudno powiedzieć
40-55 lat,raczej zgadzam się,trudno powiedzieć,raczej się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,zdecydowanie zgadzam się
24-39 lat,zdecydowanie zgadzam się,trudno powiedzieć,zdecydowanie się nie zgadzam
40-55 lat,raczej zgadzam się,trudno powiedzieć,raczej się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,raczej zgadzam się
40-55 lat,raczej zgadzam się,raczej zgadzam się,raczej się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,trudno powiedzieć,trudno powiedzieć
40-55 lat,raczej zgadzam się,raczej się nie zgadzam,raczej się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,zdecydowanie się nie zgadzam
40-55 lat,raczej zgadzam się,trudno powiedzieć,raczej się nie zgadzam
24-39 lat,trudno powiedzieć,raczej się nie zgadzam,raczej zgadzam się
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,zdecydowanie się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,raczej się nie zgadzam
24-39 lat,raczej zgadzam się,raczej zgadzam się,raczej zgadzam się
40-55 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,zdecydowanie się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,raczej zgadzam się
24-39 lat,raczej zgadzam się,zdecydowanie zgadzam się,zdecydowanie się nie zgadzam
18-23 lat,raczej zgadzam się,raczej zgadzam się,raczej zgadzam się
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,trudno powiedzieć
24-39 lat,raczej zgadzam się,raczej zgadzam się,raczej zgadzam się
24-39 lat,raczej zgadzam się,raczej zgadzam się,trudno powiedzieć
24-39 lat,raczej zgadzam się,raczej zgadzam się,trudno powiedzieć
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,raczej zgadzam się
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,raczej się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej zgadzam się,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,zdecydowanie zgadzam się,trudno powiedzieć
40-55 lat,raczej zgadzam się,trudno powiedzieć,zdecydowanie się nie zgadzam
40-55 lat,raczej zgadzam się,trudno powiedzieć,trudno powiedzieć
40-55 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,zdecydowanie się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,trudno powiedzieć,trudno powiedzieć
40-55 lat,raczej zgadzam się,raczej zgadzam się,raczej się nie zgadzam
40-55 lat,raczej się nie zgadzam,trudno powiedzieć,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,raczej się nie zgadzam
24-39 lat,raczej zgadzam się,trudno powiedzieć,raczej się nie zgadzam
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej zgadzam się
40-55 lat,raczej zgadzam się,trudno powiedzieć,raczej zgadzam się
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,zdecydowanie zgadzam się
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,trudno powiedzieć,zdecydowanie się nie zgadzam
24-39 lat,zdecydowanie zgadzam się,raczej zgadzam się,raczej się nie zgadzam
18-23 lat,raczej zgadzam się,zdecydowanie zgadzam się,trudno powiedzieć
24-39 lat,raczej zgadzam się,raczej zgadzam się,trudno powiedzieć
24-39 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,zdecydowanie się nie zgadzam
40-55 lat,zdecydowanie zgadzam się,raczej się nie zgadzam,raczej zgadzam się
