Twój wiek?,'6. Czy uważasz, że pracodawca nie zapewnia Ci?',,,,,,,,,,,,,,
24-39 lat,,,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,,,,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat, narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyżek,,,,,,,,,,,
24-39 lat, narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat, narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyżek,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje na zajmowanym stanowisku,,,dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,,,,
18-23 lat, narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,możliwości udziału w szkoleniach rozwijających kwalifikacje na zajmowanym stanowisku,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',samodzielności w pracy adekwatnej do posiadanych kwalifikacji i doświadczenia,dopasowanego do potrzeb systemu motywacyjnego,równowagi pomiędzy pracą a życiem osobistym (work life balance),,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,,satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyżek,,,,,,,,,,,
24-39 lat,,,,satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyżek,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,,,,,
24-39 lat,,,,,,,,,dopasowanego do potrzeb systemu motywacyjnego,,,,,,
18-23 lat,,,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje na zajmowanym stanowisku,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',,,,przejrzystego systemu oceny pracy,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
18-23 lat, narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyżek,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje na zajmowanym stanowisku,,,dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
