 Twój wiek?,9. Czy komunikujesz pracodawcy  że nie spełnia on Twoich oczekiwań?
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
18-23 lat,Tak (przejdź do pytania 11)
24-39 lat,Nie
24-39 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
18-23 lat,Nie
18-23 lat,Tak (przejdź do pytania 11)
24-39 lat,Nie
18-23 lat,Tak (przejdź do pytania 11)
18-23 lat,Nie
18-23 lat,Nie
18-23 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
40-55 lat,Tak (przejdź do pytania 11)
18-23 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Nie
24-39 lat,Nie
40-55 lat,Nie
18-23 lat,Nie
18-23 lat,Nie
40-55 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Nie
40-55 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Nie
18-23 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
40-55 lat,Nie
24-39 lat,Nie
18-23 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
24-39 lat,Nie
40-55 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
18-23 lat,Nie
24-39 lat,Nie
24-39 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
40-55 lat,Nie
24-39 lat,Nie
40-55 lat,Tak (przejdź do pytania 11)
40-55 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
18-23 lat,Nie
40-55 lat,Nie
24-39 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
24-39 lat,Nie
40-55 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
40-55 lat,Tak (przejdź do pytania 11)
24-39 lat,Nie
40-55 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
24-39 lat,Nie
24-39 lat,Nie
40-55 lat,Nie
40-55 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
40-55 lat,Nie
24-39 lat,Nie
24-39 lat,Nie
18-23 lat,Nie
24-39 lat,Tak (przejdź do pytania 11)
24-39 lat,Nie
40-55 lat,Nie
